reach_id,region,original_facc,corrected_facc,delta,delta_pct,correction_type
18193300571,AF,611.4825,611.9846,0.5021,0.08,single_upstream
11571500321,AF,64289.9235,64304.1367,14.2132,0.02,single_upstream
11571800201,AF,3009.5577,3011.6545,2.0968,0.07,single_upstream
11720901151,AF,1158.6418,1164.7428,6.101,0.53,single_upstream
11744700121,AF,26.9484,27.0953,0.1469,0.55,single_upstream
12279000231,AF,516366.2188,516368.4375,2.2188,0.0,single_upstream
12590000371,AF,1240.4155,1243.069,2.6535,0.21,single_upstream
12795000333,AF,107515.5637,107515.5859,0.0223,0.0,single_upstream
13181000231,AF,148428.0424,148428.3281,0.2858,0.0,single_upstream
13222601233,AF,21378.5483,21379.293,0.7447,0.0,single_upstream
14279000631,AF,59.8999,103.5103,43.6104,72.81,single_upstream
13261300191,AF,2333.6143,4071.3049,1737.6906,74.46,single_upstream
13261300171,AF,619103.2786,619108.0,4.7214,0.0,single_upstream
13299300071,AF,34356.4319,34361.6406,5.2088,0.02,single_upstream
13341000221,AF,49.0818,49.2727,0.1909,0.39,single_upstream
13351000385,AF,114.8128,115.0263,0.2135,0.19,single_upstream
13357000173,AF,5507.8881,5511.2783,3.3902,0.06,single_upstream
13370700405,AF,1224.1169,1224.4274,0.3105,0.03,single_upstream
17225000453,AF,100016.7342,100016.7891,0.0549,0.0,single_upstream
17211000031,AF,24921.1807,24925.127,3.9463,0.02,single_upstream
18199100105,AF,140.4267,141.7449,1.3182,0.94,single_upstream
18170700205,AF,18608.091,18608.334,0.243,0.0,single_upstream
11743000151,AF,2032.0093,9575.3864,7543.3771,371.23,single_upstream
14281000161,AF,498.2043,501.2585,3.0542,0.61,single_upstream
14304200394,AF,9126.1975,9126.2197,0.0222,0.0,single_upstream
15302300073,AF,822.7407,49727.8945,48905.1538,5944.18,single_upstream
14277800811,AF,310.8808,311.4773,0.5966,0.19,single_upstream
14302000451,AF,527.9257,530.4928,2.5671,0.49,single_upstream
16248000421,AF,22359.3671,22362.3906,3.0235,0.01,single_upstream
18193500161,AF,1160.8658,1161.7627,0.8969,0.08,single_upstream
14279000751,AF,1384.3322,1384.449,0.1168,0.01,single_upstream
14302000481,AF,265.9504,266.2004,0.25,0.09,single_upstream
16220300051,AF,1257.3994,1258.8893,1.4899,0.12,single_upstream
14277800933,AF,32.0578,32.2969,0.2392,0.75,single_upstream
14550000155,AF,5650.2485,5650.3584,0.1099,0.0,single_upstream
14573800155,AF,3326.4369,3329.1489,2.712,0.08,single_upstream
14301000945,AF,16.3357,16.3874,0.0517,0.32,single_upstream
14577700325,AF,145.6337,145.701,0.0673,0.05,single_upstream
14279000411,AF,990.5784,991.3969,0.8185,0.08,single_upstream
14277800741,AF,20.1791,20.4519,0.2728,1.35,single_upstream
18193300561,AF,551.1302,611.9846,60.8544,11.04,single_upstream
11720901141,AF,739.7095,1164.7428,425.0333,57.46,single_upstream
12237600041,AF,8801.6249,17421.3785,8619.7536,97.93,conservation_floor
12590000363,AF,1133.8976,1243.069,109.1714,9.63,single_upstream
13222601221,AF,21377.8035,21379.293,1.4894,0.01,single_upstream
13341000211,AF,37.0549,49.2727,12.2178,32.97,single_upstream
13357000161,AF,5448.5593,5511.2783,62.719,1.15,single_upstream
13370700435,AF,36.2659,698.6378,662.3719,1826.43,single_upstream
13370700395,AF,1204.8664,1224.4274,19.561,1.62,single_upstream
17211000024,AF,24719.2635,24925.127,205.8634,0.83,single_upstream
18170700196,AF,18595.8217,18608.334,12.5123,0.07,single_upstream
14277800803,AF,306.8043,311.4773,4.6731,1.52,single_upstream
14577500375,AF,30.8944,50.0949,19.2005,62.15,single_upstream
14634000113,AF,11347.5718,39383.0078,28035.436,247.06,conservation_floor
18193500151,AF,1107.6514,1161.7627,54.1113,4.89,single_upstream
14302000471,AF,238.5522,521.6941,283.1419,118.69,conservation_floor
14277800921,AF,30.3359,32.2969,1.961,6.46,single_upstream
14540700373,AF,1150.2469,1197.1261,46.8792,4.08,single_upstream
14573800145,AF,3154.495,3329.1489,174.6539,5.54,single_upstream
13229900651,AF,14346.5197,14462.6646,116.1449,0.81,single_upstream
14301001905,AF,55.4648,235.3711,179.9064,324.36,conservation_floor
14277800733,AF,17.2239,20.4519,3.228,18.74,single_upstream
18193300551,AF,490.9788,611.9846,121.0058,24.65,single_upstream
11720901131,AF,586.1688,1164.7428,578.574,98.7,single_upstream
12228400033,AF,1157.094,2012.2256,855.1316,73.9,single_upstream
12237600033,AF,8893.9814,17421.3785,8527.3971,95.88,single_upstream
12306900151,AF,50.2159,2443.531,2393.3151,4766.05,single_upstream
12590000356,AF,1100.5396,1243.069,142.5293,12.95,single_upstream
13222601293,AF,245.1385,7636.3412,7391.2027,3015.11,conservation_floor
13279400561,AF,1494.303,9867.9024,8373.5994,560.37,conservation_floor
13330800305,AF,219.8048,228.0663,8.2615,3.76,conservation_floor
13341000201,AF,32.0166,145.1086,113.092,353.23,conservation_floor
13357000153,AF,5436.1285,5511.2783,75.1498,1.38,single_upstream
13370700425,AF,24.3834,698.6378,674.2544,2765.21,single_upstream
13370700385,AF,1185.8643,1224.4274,38.5631,3.25,single_upstream
14100001775,AF,362.0573,2333.1699,1971.1126,544.42,single_upstream
14228600251,AF,7107.3457,12768.1634,5660.8177,79.65,conservation_floor
17211000011,AF,24710.0556,24925.127,215.0714,0.87,single_upstream
14635000063,AF,1248.5396,2101.3459,852.8063,68.3,conservation_floor
14577500366,AF,27.3548,50.0949,22.7401,83.13,single_upstream
14634000101,AF,13765.1711,39383.0078,25617.8368,186.11,single_upstream
18193500141,AF,1048.4579,1161.7627,113.3048,10.81,single_upstream
14302000441,AF,438.9344,1052.1869,613.2526,139.71,conservation_floor
14573800135,AF,2976.0443,3329.1489,353.1047,11.86,single_upstream
14530000085,AF,397.8572,576.2006,178.3434,44.83,conservation_floor
13229900641,AF,14227.358,14462.6646,235.3066,1.65,single_upstream
14301001045,AF,96.4584,109.4126,12.9542,13.43,conservation_floor
14410600033,AF,1967.3074,2385.2888,417.9814,21.25,single_upstream
14304100045,AF,78.4606,83.8885,5.4279,6.92,conservation_floor
18197100251,AF,354.1227,565.1124,210.9898,59.58,single_upstream
11749000111,AF,15427.4132,20764.5507,5337.1375,34.6,single_upstream
12226000043,AF,3189.2868,7511.8402,4322.5534,135.53,single_upstream
12237600023,AF,8989.1797,17421.3785,8432.1988,93.8,single_upstream
13279400551,AF,2042.9544,9867.9024,7824.9479,383.02,single_upstream
13357000141,AF,5409.0067,5511.2783,102.2716,1.89,single_upstream
13370700495,AF,110.1822,612.2137,502.0315,455.64,single_upstream
13370700375,AF,21.4359,612.2137,590.7778,2756.03,single_upstream
14100001765,AF,391.1829,2514.7189,2123.536,542.85,conservation_floor
14228600241,AF,7107.3457,12768.1634,5660.8177,79.65,single_upstream
17211100624,AF,24487.7494,24925.127,437.3775,1.79,single_upstream
14577300355,AF,237.0924,407.3912,170.2988,71.83,conservation_floor
14634000091,AF,14270.6691,39383.0078,25112.3387,175.97,single_upstream
18193500131,AF,956.8274,1161.7627,204.9353,21.42,single_upstream
14573800125,AF,2794.8815,3329.1489,534.2674,19.12,single_upstream
14302000381,AF,343.6622,768.1255,424.4633,123.51,single_upstream
14530000075,AF,44.825,576.2006,531.3756,1185.44,single_upstream
13229900631,AF,14106.3109,14462.6646,356.3537,2.53,single_upstream
14550000065,AF,259.4207,342.7101,83.2894,32.11,conservation_floor
11749000101,AF,16541.4198,20764.5507,4223.131,25.53,single_upstream
12226000033,AF,5377.1532,7511.8402,2134.687,39.7,single_upstream
12796000023,AF,2976.8619,36997.3143,34020.4524,1142.83,conservation_floor
13222601143,AF,3499.7449,6431.4836,2931.7388,83.77,conservation_floor
13263200124,AF,2727.3448,3842.0985,1114.7538,40.87,single_upstream
13279400541,AF,2591.6059,9867.9024,7276.2965,280.76,single_upstream
13357000131,AF,5404.4864,5511.2783,106.7919,1.98,single_upstream
13362800303,AF,1391.7112,1525.9887,134.2776,9.65,conservation_floor
13363000311,AF,77.1637,3608.3665,3531.2028,4576.25,single_upstream
13370700485,AF,38.4113,656.5636,618.1523,1609.3,conservation_floor
13370700365,AF,30.1295,1310.8515,1280.722,4250.73,conservation_floor
13370700585,AF,65.2062,497.6116,432.4054,663.14,single_upstream
13370700145,AF,40.7974,497.6116,456.8142,1119.71,single_upstream
14100002205,AF,55.4126,583.2925,527.8799,952.64,single_upstream
14100001755,AF,521.4626,1257.3595,735.8968,141.12,single_upstream
14100001855,AF,457.1413,1257.3595,800.2182,175.05,single_upstream
14228600231,AF,7107.3457,12768.1634,5660.8177,79.65,single_upstream
14244000481,AF,787.0,858.6851,71.6851,9.11,single_upstream
17211100611,AF,24479.1992,24925.127,445.9278,1.82,single_upstream
15140700343,AF,15046.657,21498.4578,6451.8008,42.88,conservation_floor
14577301105,AF,99.3997,203.6956,104.2959,104.93,single_upstream
14577300345,AF,99.3997,203.6956,104.2959,104.93,single_upstream
14634000083,AF,14607.6678,39383.0078,24775.34,169.61,single_upstream
18193500121,AF,911.5354,1161.7627,250.2273,27.45,single_upstream
14573800116,AF,2620.77,3329.1489,708.3789,27.03,single_upstream
14577700415,AF,147.5923,166.3124,18.7201,12.68,conservation_floor
14302000371,AF,517.3885,768.1255,250.7369,48.46,single_upstream
13229900621,AF,13978.476,14462.6646,484.1886,3.46,single_upstream
14277800401,AF,284.9204,304.687,19.7666,6.94,conservation_floor
14304200321,AF,9295.2188,17955.9937,8660.775,93.17,conservation_floor
14580900261,AF,1165.253,3628.2497,2462.9966,211.37,single_upstream
11749000091,AF,17416.9043,20764.5507,3347.6465,19.22,single_upstream
12234000031,AF,10851.6948,12071.2211,1219.5263,11.24,conservation_floor
12239000053,AF,5019.0309,12484.1341,7465.1031,148.74,single_upstream
13222601131,AF,3499.7449,6431.4836,2931.7388,83.77,single_upstream
13263200111,AF,3257.9506,3842.0985,584.1479,17.93,single_upstream
13279400531,AF,3136.1321,9867.9024,6731.7702,214.65,single_upstream
13298000041,AF,1345.0483,22086.6133,20741.5649,1542.07,single_upstream
13357000123,AF,5387.5353,5511.2783,123.743,2.3,single_upstream
13370700255,AF,65.2062,1492.8347,1427.6286,2189.41,conservation_floor
13370700135,AF,39.9798,497.6116,457.6318,1144.66,single_upstream
14100002145,AF,64.3945,1749.8774,1685.4829,2617.43,conservation_floor
14100002155,AF,258.7587,1286.2414,1027.4827,397.08,conservation_floor
14100002185,AF,91.0904,253.7343,162.644,178.55,single_upstream
14228600223,AF,7107.3457,12768.1634,5660.8177,79.65,single_upstream
13362800183,AF,1164.3095,2038.609,874.2995,75.09,conservation_floor
15140700334,AF,15052.771,21498.4578,6445.6867,42.82,single_upstream
14577301085,AF,63.1029,203.6956,140.5927,222.8,single_upstream
14577300335,AF,63.1199,222.5307,159.4109,252.55,conservation_floor
14634000071,AF,14908.0362,39383.0078,24474.9717,164.17,single_upstream
18193500113,AF,865.3465,1161.7627,296.4162,34.25,single_upstream
14577700406,AF,147.5923,166.3124,18.7201,12.68,single_upstream
13229900611,AF,13847.6245,14462.6646,615.0401,4.44,single_upstream
16249000743,AF,4168.3405,5433.0568,1264.7162,30.34,conservation_floor
14277800393,AF,259.9746,304.687,44.7124,17.2,single_upstream
14301001715,AF,201.993,225.0406,23.0476,11.41,conservation_floor
14580900251,AF,1463.3821,3628.2497,2164.8675,147.94,single_upstream
14277800791,AF,271.0106,377.6654,106.6548,39.35,conservation_floor
11749000081,AF,18278.8363,20764.5507,2485.7144,13.6,single_upstream
13222601123,AF,3499.7449,6431.4836,2931.7388,83.77,single_upstream
13263200104,AF,3284.8394,3842.0985,557.2591,16.96,single_upstream
13268600281,AF,37.1786,13151.1632,13113.9846,35272.94,single_upstream
13276800051,AF,60.3033,3775.8419,3715.5386,6161.42,single_upstream
13279400521,AF,4169.4945,9867.9024,5698.4079,136.67,single_upstream
13298000033,AF,1341.3245,22086.6133,20745.2888,1546.63,single_upstream
13357000116,AF,5270.0078,5511.2783,241.2706,4.58,single_upstream
13370700095,AF,47.8824,1020.7813,972.8989,2031.85,single_upstream
13370700045,AF,47.8824,1020.7813,972.8989,2031.85,single_upstream
13370700245,AF,28.7392,746.4174,717.6782,2497.21,single_upstream
13370700555,AF,25.1459,746.4174,721.2715,2868.35,single_upstream
13370700125,AF,51.2381,1196.2494,1145.0113,2234.69,conservation_floor
14100002105,AF,85.5553,874.9387,789.3834,922.66,single_upstream
14100002215,AF,82.5726,874.9387,792.3661,959.6,single_upstream
14100002085,AF,258.7587,1286.2414,1027.4827,397.08,single_upstream
14100000775,AF,54.7022,361.359,306.6568,560.59,conservation_floor
14100002125,AF,55.5061,253.7343,198.2283,357.13,single_upstream
13362800171,AF,1167.5775,2038.609,871.0315,74.6,single_upstream
