reach_id,region,original_facc,corrected_facc,delta,delta_pct,correction_type
72250000285,NA,44.5402,44.6918,0.1515,0.34,single_upstream
75379000535,NA,448.0943,449.2901,1.1957,0.27,single_upstream
81190900665,NA,874.0635,875.1437,1.0802,0.12,single_upstream
72408800373,NA,4916.0619,4956.0688,40.007,0.81,single_upstream
72608300423,NA,373.5569,377.4705,3.9137,1.05,single_upstream
85109500623,NA,636.1404,637.7684,1.628,0.26,single_upstream
75362300075,NA,72.8471,8700.8809,8628.0338,11844.04,single_upstream
74252900761,NA,49.2794,54.1827,4.9034,9.95,single_upstream
72180400421,NA,7681.3493,7692.8413,11.492,0.15,single_upstream
72408200263,NA,103.2244,103.2466,0.0222,0.02,single_upstream
81350800171,NA,2216.8733,3364.1504,1147.2771,51.75,single_upstream
85204700281,NA,22617.7191,22623.4551,5.736,0.03,single_upstream
73140700295,NA,1417.2228,1421.6797,4.4568,0.31,single_upstream
72350200313,NA,1090.9975,1091.1111,0.1136,0.01,single_upstream
83244500623,NA,298.1659,299.1609,0.995,0.33,single_upstream
74252100171,NA,65.6214,66.7331,1.1117,1.69,single_upstream
71228900033,NA,1041.4008,1048.5875,7.1867,0.69,single_upstream
83280200153,NA,7362.8317,7365.438,2.6063,0.04,single_upstream
85109500361,NA,1239.9617,1243.1042,3.1426,0.25,single_upstream
71322700171,NA,147.9426,148.6316,0.689,0.47,single_upstream
71223200333,NA,18271.8598,18282.1992,10.3394,0.06,single_upstream
82211000365,NA,130.8716,131.9431,1.0715,0.82,single_upstream
85201000135,NA,31.3455,31.506,0.1605,0.51,single_upstream
73252001423,NA,7345.6377,7345.6655,0.0278,0.0,single_upstream
82283000081,NA,22.0299,22.1922,0.1622,0.74,single_upstream
72150000191,NA,5057.6181,5059.9248,2.3067,0.05,single_upstream
72408700213,NA,27325.5462,27332.0273,6.4812,0.02,single_upstream
71230600523,NA,211.0452,212.5485,1.5033,0.71,single_upstream
71223400223,NA,20.1587,96.9942,76.8355,381.15,single_upstream
71366200201,NA,2248.9297,2249.0933,0.1636,0.01,single_upstream
72240900493,NA,13.6546,16.4541,2.7994,20.5,single_upstream
81190900395,NA,30.353,66.5822,36.2291,119.36,single_upstream
83150400133,NA,3640.4616,3642.7361,2.2745,0.06,single_upstream
73251000153,NA,141.5819,143.9447,2.3628,1.67,single_upstream
72230000245,NA,132.2226,134.6362,2.4136,1.83,single_upstream
75379000253,NA,97.149,101.5484,4.3994,4.53,single_upstream
71368000513,NA,56.3554,57.2687,0.9133,1.62,single_upstream
81210500401,NA,108.5235,108.5824,0.0589,0.05,single_upstream
71384000631,NA,1107.8486,1108.9348,1.0862,0.1,single_upstream
83270400991,NA,331.9649,477.5912,145.6263,43.87,single_upstream
83270401163,NA,27.0875,27.2826,0.1951,0.72,single_upstream
74252900691,NA,16.3233,16.5028,0.1795,1.1,single_upstream
85202000423,NA,79.8935,80.8475,0.954,1.19,single_upstream
74262301321,NA,275.1101,276.0132,0.9031,0.33,single_upstream
78270600553,NA,6303.4038,6303.8237,0.4199,0.01,single_upstream
72608800143,NA,57.4863,297.6617,240.1754,417.8,single_upstream
