reach_id,region,original_facc,corrected_facc,delta,delta_pct,n_rch_up,correction_type
17270400161,AF,8637.1579,8663.9215,26.7636,0.31,2,junction_floor
14301002455,AF,111.6393,173.9783,62.339,55.84,2,junction_floor
14301002565,AF,296.352,405.4051,109.0531,36.8,2,junction_floor
17291500311,AF,483388.3611,692944.8303,209556.4692,43.35,2,junction_floor
14520100015,AF,83126.2422,87549.2607,4423.0186,5.32,2,junction_floor
18160400021,AF,5879.7639,6720.4626,840.6987,14.3,2,junction_floor
18160400061,AF,2254.54,2318.264,63.7239,2.83,2,junction_floor
14279001233,AF,299273.0312,311809.7448,12536.7135,4.19,2,junction_floor
14301002545,AF,55.0661,69.9452,14.8791,27.02,2,junction_floor
14635000201,AF,338155.1562,379036.0195,40880.8633,12.09,2,junction_floor
14277801101,AF,26725.0038,26750.1379,25.1341,0.09,2,junction_floor
14277800061,AF,60825.1992,60896.9283,71.7291,0.12,2,junction_floor
14577300335,AF,222.5307,233.5904,11.0597,4.97,2,junction_floor
17245700041,AF,158627.2189,287876.4062,129249.1873,81.48,2,junction_floor
14577900025,AF,4145.4533,4178.3526,32.8993,0.79,2,junction_floor
11430000051,AF,439536.5697,767102.1816,327565.612,74.53,2,junction_floor
11443000071,AF,130246.0718,189186.3882,58940.3164,45.25,2,junction_floor
11495000041,AF,76707.7472,95671.2621,18963.5149,24.72,2,junction_floor
11543000033,AF,18539.9958,160861.0938,142321.0979,767.64,2,junction_floor
11544000011,AF,15665.7816,89517.2245,73851.4429,471.42,2,junction_floor
11545900213,AF,32805.5047,55417.9746,22612.4699,68.93,2,junction_floor
11547000111,AF,15916.2627,26080.9951,10164.7324,63.86,2,junction_floor
11571700441,AF,22297.5595,47969.0595,25671.5,115.13,2,junction_floor
11720100075,AF,11248.5107,13681.8403,2433.3296,21.63,2,junction_floor
11720100025,AF,22497.0214,27973.5809,5476.5595,24.34,2,junction_floor
11720300061,AF,14404.3789,28793.9541,14389.5752,99.9,2,junction_floor
11720900251,AF,26385.5755,27550.3183,1164.7428,4.41,2,junction_floor
11720900311,AF,24513.5827,24729.1083,215.5256,0.88,2,junction_floor
11720900381,AF,18881.181,19768.5772,887.3962,4.7,2,junction_floor
11720900424,AF,17835.4159,23702.4764,5867.0605,32.9,2,junction_floor
11720900603,AF,7099.1162,7350.2104,251.0942,3.54,2,junction_floor
11720900613,AF,7030.668,11419.1787,4388.5107,62.42,2,junction_floor
11734700151,AF,25852.8936,27049.4199,1196.5263,4.63,2,junction_floor
11736300011,AF,38475.9104,58974.8984,20498.9881,53.28,2,junction_floor
11743000051,AF,159836.221,212153.5643,52317.3433,32.73,2,junction_floor
11743000121,AF,159674.125,318124.0938,158449.9688,99.23,2,junction_floor
11743000141,AF,158483.4375,168058.7145,9575.277,6.04,2,junction_floor
11743000111,AF,157817.8466,171367.3906,13549.544,8.59,2,junction_floor
11744300014,AF,84194.3278,99301.9351,15107.6073,17.94,2,junction_floor
11744200041,AF,24020.0857,26864.9121,2844.8264,11.84,2,junction_floor
11744200061,AF,10219.9977,10429.5938,209.5961,2.05,2,junction_floor
11744200581,AF,4122.6999,6564.5645,2441.8646,59.23,2,junction_floor
11744300041,AF,74020.6753,77119.9247,3099.2494,4.19,2,junction_floor
11744500061,AF,73157.4752,82293.5021,9136.0269,12.49,2,junction_floor
11744500071,AF,51980.4845,59342.1719,7361.6874,14.16,2,junction_floor
11744600031,AF,35047.7839,55638.8047,20591.0208,58.75,2,junction_floor
11744600051,AF,27818.9785,32178.6665,4359.688,15.67,2,junction_floor
11744600141,AF,27630.584,42918.9844,15288.4004,55.33,2,junction_floor
11744600021,AF,42353.9814,62956.7058,20602.7244,48.64,2,junction_floor
11744700011,AF,29671.0273,55848.543,26177.5156,88.23,2,junction_floor
11744700061,AF,16253.035,30728.9219,14475.8869,89.07,2,junction_floor
11744800051,AF,9205.0628,19732.6243,10527.5615,114.37,2,junction_floor
18140300031,AF,45205.6357,45462.9432,257.3076,0.57,2,junction_floor
17293000291,AF,416342.1562,437357.934,21015.7778,5.05,2,junction_floor
14279001311,AF,296930.0,320523.0805,23593.0805,7.95,2,junction_floor
14301002525,AF,110.5342,178.4463,67.9121,61.44,2,junction_floor
14301002735,AF,176.2439,214.8337,38.5899,21.9,2,junction_floor
11762900011,AF,24266.0675,42760.0675,18494.0,76.21,2,junction_floor
11762900051,AF,20803.0871,29947.0871,9144.0,43.96,2,junction_floor
11763000051,AF,70650.1483,79833.3867,9183.2384,13.0,2,junction_floor
11765000071,AF,53782.8332,54668.1649,885.3316,1.65,2,junction_floor
11795000131,AF,5138.6607,9824.8286,4686.1679,91.19,2,junction_floor
12100000095,AF,262872.7962,262900.5878,27.7916,0.01,2,junction_floor
12210000151,AF,1357076.625,1517605.0156,160528.3906,11.83,2,junction_floor
12210000131,AF,1359086.4709,1883062.1222,523975.6513,38.55,2,junction_floor
12210000045,AF,1369311.5,1369954.2604,642.7604,0.05,2,junction_floor
12221300031,AF,107970.9044,108180.0721,209.1677,0.19,2,junction_floor
12221700111,AF,138360.7165,139633.5499,1272.8335,0.92,2,junction_floor
12221900013,AF,128508.8984,248342.2969,119833.3984,93.25,2,junction_floor
12223000123,AF,40904.5918,95045.0039,54140.4121,132.36,2,junction_floor
12226000013,AF,83330.6016,89224.1719,5893.5703,7.07,2,junction_floor
12228200121,AF,9922.3935,13108.5811,3186.1875,32.11,2,junction_floor
12228600013,AF,16318.8574,16631.334,312.4766,1.91,2,junction_floor
12228700013,AF,8315.667,12069.1201,3753.4531,45.14,2,junction_floor
12231000151,AF,1198300.4355,1680572.2819,482271.8464,40.25,2,junction_floor
12232100011,AF,1173516.035,2291051.535,1117535.5,95.23,2,junction_floor
12232100041,AF,34371.1986,53571.1172,19199.9186,55.86,2,junction_floor
12232400081,AF,19787.1924,27903.0859,8115.8935,41.02,2,junction_floor
12233000041,AF,1116716.7784,1132663.6348,15946.8563,1.43,2,junction_floor
12234000031,AF,12071.2211,23456.9126,11385.6915,94.32,2,junction_floor
12235000091,AF,1069177.8216,1090648.5312,21470.7097,2.01,2,junction_floor
12236000231,AF,12111.7244,13705.1763,1593.4519,13.16,2,junction_floor
12237500041,AF,940112.4895,1041758.8345,101646.345,10.81,2,junction_floor
12237700011,AF,1041713.6875,1049165.316,7451.6285,0.72,2,junction_floor
12237600041,AF,17421.3785,17437.2923,15.9138,0.09,2,junction_floor
12237900023,AF,1003490.1381,1014526.0091,11035.871,1.1,2,junction_floor
12242100041,AF,38908.1787,43298.125,4389.9463,11.28,2,junction_floor
12245000091,AF,57651.0704,102458.2734,44807.2031,77.72,2,junction_floor
12247000031,AF,39980.078,50510.6721,10530.5941,26.34,2,junction_floor
12247000061,AF,37244.8262,69429.0176,32184.1914,86.41,2,junction_floor
12250000151,AF,851501.7276,966715.4496,115213.722,13.53,2,junction_floor
12261700111,AF,118509.6245,233792.5156,115282.8912,97.28,2,junction_floor
12261900043,AF,105658.5888,106304.9801,646.3913,0.61,2,junction_floor
12261900231,AF,83697.3701,92160.2627,8462.8926,10.11,2,junction_floor
12272300013,AF,810784.4496,845823.5173,35039.0677,4.32,2,junction_floor
12272300141,AF,38882.6592,48133.5469,9250.8877,23.79,2,junction_floor
12272500151,AF,19761.258,29178.4609,9417.2029,47.65,2,junction_floor
12274000013,AF,6517.1406,12588.9033,6071.7627,93.17,2,junction_floor
12275000023,AF,795146.1618,795431.9028,285.741,0.04,2,junction_floor
12277000173,AF,788757.7636,788938.2578,180.4942,0.02,2,junction_floor
12277000193,AF,788574.2382,788862.0956,287.8574,0.04,2,junction_floor
12279000141,AF,786862.7377,1032734.6562,245871.9185,31.25,2,junction_floor
12281000011,AF,153028.3281,153328.7297,300.4016,0.2,2,junction_floor
12291300021,AF,348149.49,394819.5728,46670.0828,13.41,2,junction_floor
12291500061,AF,315508.0,374709.3228,59201.3228,18.76,2,junction_floor
12291900101,AF,283828.8076,283993.8625,165.055,0.06,2,junction_floor
12293000061,AF,222838.0243,257715.7126,34877.6882,15.65,2,junction_floor
12301000025,AF,131804.9057,132130.0089,325.1032,0.25,2,junction_floor
12306100271,AF,85021.2367,86793.0547,1771.818,2.08,2,junction_floor
12430000115,AF,285632.9888,538012.5639,252379.5751,88.36,2,junction_floor
12440100061,AF,77492.6569,78435.1904,942.5335,1.22,2,junction_floor
12440300061,AF,42980.6695,67883.3125,24902.643,57.94,2,junction_floor
12440500091,AF,49481.5065,98933.0342,49451.5276,99.94,2,junction_floor
12450300051,AF,255072.2429,492793.1094,237720.8665,93.2,2,junction_floor
12460000011,AF,28857.1055,57695.3197,28838.2143,99.93,2,junction_floor
12499000661,AF,6241.0435,7601.9719,1360.9285,21.81,2,junction_floor
12499000361,AF,10174.0086,12483.0352,2309.0266,22.7,2,junction_floor
12520500041,AF,34459.007,40961.8115,6502.8045,18.87,2,junction_floor
12520600101,AF,5611.6068,7260.104,1648.4972,29.38,2,junction_floor
12520700071,AF,21795.8056,22399.625,603.8194,2.77,2,junction_floor
12551000541,AF,2351.3054,2874.6185,523.3132,22.26,2,junction_floor
12552000191,AF,26730.0985,36410.4551,9680.3566,36.22,2,junction_floor
12552000371,AF,3532.8895,3950.6608,417.7713,11.83,2,junction_floor
12553600101,AF,19308.6293,21954.3867,2645.7574,13.7,2,junction_floor
12553800101,AF,9053.9007,11204.3203,2150.4196,23.75,2,junction_floor
12553800211,AF,4717.9451,6471.5459,1753.6008,37.17,2,junction_floor
12554000101,AF,18016.4831,18739.6245,723.1414,4.01,2,junction_floor
12590000131,AF,8087.1534,10054.3415,1967.188,24.32,2,junction_floor
12770100061,AF,324731.2772,326644.228,1912.9508,0.59,2,junction_floor
12770900021,AF,287421.0728,293251.412,5830.3392,2.03,2,junction_floor
12780100213,AF,91673.8955,158298.2738,66624.3783,72.68,2,junction_floor
12780100193,AF,93479.5279,93553.1379,73.61,0.08,2,junction_floor
12780300123,AF,82423.8575,140469.4297,58045.5722,70.42,2,junction_floor
12780300191,AF,82405.4508,131091.2692,48685.8184,59.08,2,junction_floor
12791000021,AF,193941.5448,367661.4009,173719.8561,89.57,2,junction_floor
12795000324,AF,165441.1396,215031.0312,49589.8916,29.97,2,junction_floor
12796000013,AF,107515.4453,117196.7674,9681.3221,9.0,2,junction_floor
12796000023,AF,36997.3143,38360.9456,1363.6313,3.69,2,junction_floor
12797900263,AF,38575.4297,38682.6498,107.2201,0.28,2,junction_floor
12950300061,AF,244313.6269,259009.0475,14695.4206,6.01,2,junction_floor
13121000413,AF,117105.3561,177252.9844,60147.6283,51.36,2,junction_floor
13121000541,AF,82773.5159,163279.5159,80506.0,97.26,2,junction_floor
13181000031,AF,148973.3906,296690.2188,147716.8281,99.16,2,junction_floor
13183900051,AF,100058.9818,122403.125,22344.1432,22.33,2,junction_floor
13211000111,AF,3661331.0259,3670925.7609,9594.735,0.26,2,junction_floor
13211000085,AF,3667991.1568,3672696.4092,4705.2523,0.13,2,junction_floor
13213000121,AF,3645376.1714,3658633.1984,13257.027,0.36,2,junction_floor
13215000131,AF,3619439.6365,3629188.1562,9748.5197,0.27,2,junction_floor
13217000061,AF,3612460.161,3618065.2148,5605.0539,0.16,2,junction_floor
13217000091,AF,2800338.306,3609903.5194,809565.2134,28.91,2,junction_floor
13218000011,AF,11501.8047,12012.5161,510.7114,4.44,2,junction_floor
13217000141,AF,3593209.7436,3602718.1593,9508.4157,0.26,2,junction_floor
13221000061,AF,773735.4443,884816.0,111080.5557,14.36,2,junction_floor
13222500061,AF,118348.0297,197367.5457,79019.516,66.77,2,junction_floor
13222600063,AF,79682.2645,80183.7355,501.471,0.63,2,junction_floor
13222600133,AF,56681.4041,57068.7774,387.3733,0.68,2,junction_floor
13222600143,AF,56248.2496,60130.7429,3882.4933,6.9,2,junction_floor
13222600221,AF,28661.8956,42644.4512,13982.5556,48.78,2,junction_floor
13222600661,AF,8894.5051,12507.3457,3612.8406,40.62,2,junction_floor
13222600341,AF,18507.6132,21547.6211,3040.0079,16.43,2,junction_floor
13222601293,AF,7636.3412,8171.5733,535.2321,7.01,2,junction_floor
13222601143,AF,6431.4836,6777.8014,346.3178,5.38,2,junction_floor
17211100061,AF,3058128.2707,3102406.6737,44278.403,1.45,2,junction_floor
14560300063,AF,35034.6842,86752.7422,51718.058,147.62,2,junction_floor
18170600081,AF,4300.9404,8601.8809,4300.9404,100.0,2,junction_floor
14277500131,AF,360575.0938,410986.487,50411.3933,13.98,2,junction_floor
14301001965,AF,72.7661,74.3187,1.5526,2.13,2,junction_floor
14301000915,AF,149.1729,150.4883,1.3154,0.88,2,junction_floor
18192000231,AF,2533.612,2703.4971,169.885,6.71,2,junction_floor
14281000111,AF,131679.2969,143300.7196,11621.4227,8.83,2,junction_floor
14577700075,AF,1375.1512,1416.4493,41.2981,3.0,2,junction_floor
13223000041,AF,745389.3411,949066.75,203677.4089,27.32,2,junction_floor
13224200311,AF,39053.112,48657.8984,9604.7864,24.59,2,junction_floor
13224201401,AF,24469.7816,29919.416,5449.6344,22.27,2,junction_floor
13224200601,AF,18335.8415,20585.2344,2249.3929,12.27,2,junction_floor
13224201441,AF,14067.1053,14678.0537,610.9484,4.34,2,junction_floor
13224300041,AF,158946.3977,271091.4062,112145.0085,70.56,2,junction_floor
13224400071,AF,30865.6498,44209.6094,13343.9596,43.23,2,junction_floor
13224400571,AF,9105.5192,9783.0625,677.5433,7.44,2,junction_floor
13224500011,AF,135545.7031,270358.3572,134812.6541,99.46,2,junction_floor
13224700221,AF,94474.6375,155664.5781,61189.9406,64.77,2,junction_floor
13224700401,AF,43494.131,57357.8761,13863.7451,31.87,2,junction_floor
13225100171,AF,463066.7986,475159.3514,12092.5527,2.61,2,junction_floor
13225100181,AF,458130.8125,916262.7188,458131.9062,100.0,2,junction_floor
13225100151,AF,468906.9221,472299.2946,3392.3725,0.72,2,junction_floor
13225300051,AF,454456.0646,456806.6964,2350.6318,0.52,2,junction_floor
