reach_id,region,original_facc,corrected_facc,delta,delta_pct,n_rch_up,correction_type
43669300013,AS,34472.7383,53617.4375,19144.6992,55.54,2,junction_floor
45408300183,AS,752.7956,1132.1777,379.3821,50.4,2,junction_floor
45364300253,AS,58503.3079,59650.2991,1146.9912,1.96,2,junction_floor
35144000321,AS,14765.4157,28356.25,13590.8343,92.05,2,junction_floor
32218000201,AS,13466.1658,23171.8965,9705.7306,72.07,2,junction_floor
35186200011,AS,2003.7434,2275.1577,271.4143,13.55,2,junction_floor
34263800031,AS,2392.0809,3683.7903,1291.7093,54.0,2,junction_floor
34263900011,AS,91983.2969,92780.5514,797.2545,0.87,2,junction_floor
31365000091,AS,118143.8686,151963.1953,33819.3267,28.63,2,junction_floor
31365000131,AS,75251.4219,138412.0703,63160.6484,83.93,2,junction_floor
35414300041,AS,159382.625,187061.1523,27678.5273,17.37,2,junction_floor
32264600051,AS,8394.3558,10609.0444,2214.6886,26.38,2,junction_floor
34230900021,AS,1655944.625,3311764.75,1655820.125,99.99,2,junction_floor
34211700101,AS,2409303.0,2449117.9158,39814.9158,1.65,2,junction_floor
32275600141,AS,12456.1092,12772.1288,316.0196,2.54,2,junction_floor
32247900051,AS,38147.0789,48104.5938,9957.5149,26.1,2,junction_floor
35301206181,AS,525.7309,564.5882,38.8573,7.39,2,junction_floor
34211800231,AS,534.0377,666.5879,132.5502,24.82,2,junction_floor
35185100061,AS,414713.875,493897.0984,79183.2234,19.09,2,junction_floor
35449100351,AS,385.5279,610.5601,225.0321,58.37,2,junction_floor
43442200423,AS,14804.6541,19559.9521,4755.298,32.12,2,junction_floor
33161000121,AS,75784.3791,79753.3016,3968.9225,5.24,2,junction_floor
35149200071,AS,16792.3423,17005.2791,212.9368,1.27,2,junction_floor
33183600071,AS,4416.46,5579.4353,1162.9753,26.33,2,junction_floor
35189800111,AS,9416.0703,14338.5908,4922.5205,52.28,2,junction_floor
35416900101,AS,4147.4476,6508.1499,2360.7023,56.92,2,junction_floor
35417200181,AS,5431.3837,5804.0265,372.6427,6.86,2,junction_floor
44581500163,AS,358.3231,683.5345,325.2115,90.76,2,junction_floor
45404100363,AS,54172.6127,54380.7536,208.1408,0.38,2,junction_floor
45299100261,AS,39012.3877,44468.2334,5455.8457,13.98,2,junction_floor
45247800363,AS,8824.9393,16583.4393,7758.5,87.92,2,junction_floor
43664500343,AS,15190.4526,27546.2676,12355.815,81.34,2,junction_floor
43664500323,AS,16808.1489,18005.2818,1197.1329,7.12,2,junction_floor
43664700071,AS,11043.1869,14392.1396,3348.9527,30.33,2,junction_floor
31236000051,AS,461.8234,498.9271,37.1037,8.03,2,junction_floor
