reach_id,region,original_facc,corrected_facc,delta,delta_pct,n_rch_up,correction_type
75361000025,NA,83946.2188,97302.5805,13356.3618,15.91,2,junction_floor
77119200121,NA,4428.7759,4923.9241,495.1482,11.18,2,junction_floor
73256000473,NA,4950.9197,5770.9453,820.0256,16.56,2,junction_floor
82242700071,NA,14195.9912,14217.3275,21.3363,0.15,2,junction_floor
73190900095,NA,9982.8381,21698.2869,11715.4488,117.36,2,junction_floor
74269400371,NA,3587.3552,3840.6707,253.3155,7.06,2,junction_floor
72555100093,NA,732287.125,1410898.625,678611.5,92.67,2,junction_floor
73270900105,NA,52404.0885,164088.6941,111684.6056,213.12,2,junction_floor
74223300011,NA,167494.0408,170132.401,2638.3602,1.58,2,junction_floor
85203100345,NA,208.0839,615.04,406.9561,195.57,2,junction_floor
81190900775,NA,537.7164,766.1039,228.3875,42.47,2,junction_floor
74283000021,NA,370327.6189,371150.0819,822.463,0.22,2,junction_floor
71223400043,NA,16627.8891,17712.5049,1084.6157,6.52,2,junction_floor
72199600035,NA,3449.4187,4053.1152,603.6965,17.5,2,junction_floor
81210700011,NA,809098.625,889144.9243,80046.2993,9.89,2,junction_floor
85207600045,NA,2723.4363,8683.448,5960.0117,218.84,2,junction_floor
81120100015,NA,19173.1194,127520.7383,108347.6189,565.1,2,junction_floor
83244700171,NA,26954.7138,27380.1094,425.3956,1.58,2,junction_floor
82100900295,NA,9022.8412,9148.608,125.7668,1.39,2,junction_floor
82283000033,NA,309844.1875,573377.7188,263533.5312,85.05,2,junction_floor
74291400183,NA,34311.8281,65660.3555,31348.5273,91.36,2,junction_floor
74291400333,NA,24420.3359,44335.582,19915.2461,81.55,2,junction_floor
83244100301,NA,1462.7043,1635.8134,173.1091,11.83,2,junction_floor
81340500201,NA,24550.9512,26886.0159,2335.0647,9.51,2,junction_floor
82291000541,NA,300309.5,600605.875,300296.375,100.0,2,junction_floor
82291000551,NA,300302.8125,600604.0625,300301.25,100.0,2,junction_floor
82291000511,NA,110963.7098,409276.11,298312.4002,268.84,2,junction_floor
81160500041,NA,24560.0199,25041.8672,481.8472,1.96,2,junction_floor
81160600021,NA,12593.2868,17344.3691,4751.0823,37.73,2,junction_floor
82270000361,NA,611459.4375,1222910.5625,611451.125,100.0,2,junction_floor
71181900103,NA,456022.7533,459994.2227,3971.4694,0.87,2,junction_floor
81230700031,NA,641953.4311,724354.4991,82401.0681,12.84,2,junction_floor
73190100055,NA,13912.3699,13917.2715,4.9016,0.04,2,junction_floor
73252000403,NA,16758.3399,16767.7893,9.4494,0.06,2,junction_floor
73252000433,NA,15101.4244,26679.8423,11578.4179,76.67,2,junction_floor
71224300221,NA,67964.8125,69359.8024,1394.9899,2.05,2,junction_floor
81158000383,NA,926.7834,1456.0793,529.2959,57.11,2,junction_floor
73220300031,NA,15096.6099,41476.0119,26379.402,174.74,2,junction_floor
82285000461,NA,154753.005,176936.7682,22183.7632,14.33,2,junction_floor
82100800225,NA,31461.7753,31542.0815,80.3062,0.26,2,junction_floor
82270000471,NA,165390.3898,1222969.25,1057578.8602,639.44,2,junction_floor
72130000331,NA,9661.9161,15726.4608,6064.5447,62.77,2,junction_floor
75362700013,NA,28042.3203,55514.5664,27472.2461,97.97,2,junction_floor
77280100131,NA,62517.531,111646.6406,49129.1096,78.58,2,junction_floor
83210200083,NA,5562.2769,5988.5516,426.2748,7.66,2,junction_floor
72583100113,NA,155406.9219,200306.3125,44899.3906,28.89,2,junction_floor
81130100025,NA,9608.2443,9614.6726,6.4283,0.07,2,junction_floor
82291000011,NA,300447.9375,409276.11,108828.1725,36.22,2,junction_floor
82291000021,NA,300422.75,600619.375,300196.625,99.92,2,junction_floor
82291000101,NA,299980.5,599932.7812,299952.2812,99.99,2,junction_floor
82291000111,NA,299954.375,599883.4062,299929.0312,99.99,2,junction_floor
73214000254,NA,20031.4629,39872.8125,19841.3496,99.05,2,junction_floor
83280100143,NA,61114.3529,98211.9553,37097.6024,60.7,2,junction_floor
72547700173,NA,56551.6639,58347.6395,1795.9756,3.18,2,junction_floor
74262300153,NA,84262.4688,86506.0163,2243.5475,2.66,2,junction_floor
74262300423,NA,62967.5156,63129.1503,161.6347,0.26,2,junction_floor
83242100213,NA,66370.1915,76881.8506,10511.6591,15.84,2,junction_floor
74281000041,NA,397080.9813,443200.8594,46119.8781,11.61,2,junction_floor
74247000133,NA,191300.6122,337903.5156,146602.9034,76.63,2,junction_floor
77121000123,NA,110306.483,219531.3828,109224.8998,99.02,2,junction_floor
71230600183,NA,27782.6709,29764.373,1981.7021,7.13,2,junction_floor
72110600503,NA,883.8462,892.1089,8.2627,0.93,2,junction_floor
82283000171,NA,13858.6149,164904.0852,151045.4703,1089.9,2,junction_floor
82291000531,NA,300309.5,334278.5192,33969.0192,11.31,2,junction_floor
74298100181,NA,163282.774,234169.1406,70886.3667,43.41,2,junction_floor
82251800103,NA,14482.7935,16307.7002,1824.9067,12.6,2,junction_floor
74262700073,NA,31662.8424,32411.845,749.0026,2.37,2,junction_floor
83245000233,NA,63246.2875,63339.2632,92.9757,0.15,2,junction_floor
83245000923,NA,1192.9248,1448.1565,255.2317,21.4,2,junction_floor
75120700123,NA,23232.7147,23275.7999,43.0852,0.19,2,junction_floor
74227100063,NA,80741.5123,81325.2008,583.6885,0.72,2,junction_floor
85205000021,NA,21712.2487,21727.4325,15.1838,0.07,2,junction_floor
83247000173,NA,27070.6157,54622.9062,27552.2906,101.78,2,junction_floor
83250000085,NA,151293.6475,151298.1302,4.4827,0.0,2,junction_floor
73270600015,NA,10961.9648,14213.7477,3251.7829,29.66,2,junction_floor
82211000055,NA,1792742.375,2139040.6898,346298.3148,19.32,2,junction_floor
82268000573,NA,1622.0677,2390.5301,768.4623,47.38,2,junction_floor
81310400055,NA,2461.4091,2590.9262,129.5171,5.26,2,junction_floor
72530400221,NA,2484.4954,4131.4111,1646.9157,66.29,2,junction_floor
72530600173,NA,11765.3758,20083.2561,8317.8803,70.7,2,junction_floor
77153300035,NA,3590.1349,3901.5041,311.3692,8.67,2,junction_floor
72160500261,NA,19934.8088,38402.6133,18467.8045,92.64,2,junction_floor
71215000203,NA,171930.4347,913756.7035,741826.2688,431.47,2,junction_floor
72264000643,NA,1638.8634,1678.7363,39.8729,2.43,2,junction_floor
72120300103,NA,60001.0704,60312.2214,311.1511,0.52,2,junction_floor
74228000111,NA,14098.4673,15370.4809,1272.0136,9.02,2,junction_floor
77170000095,NA,9311.8199,9558.7711,246.9512,2.65,2,junction_floor
73287000143,NA,34158.9904,34259.8825,100.8921,0.3,2,junction_floor
72544000283,NA,9230.2061,9252.672,22.466,0.24,2,junction_floor
75130000015,NA,42437.9821,42466.6724,28.6903,0.07,2,junction_floor
74264100083,NA,45344.4492,46370.604,1026.1548,2.26,2,junction_floor
71356700203,NA,8351.7716,11707.8418,3356.0702,40.18,2,junction_floor
83210400065,NA,3477.9117,3599.0509,121.1392,3.48,2,junction_floor
72555900063,NA,22030.416,40706.2148,18675.7988,84.77,2,junction_floor
82304200071,NA,12109.4119,18363.46,6254.048,51.65,2,junction_floor
72180400143,NA,45737.6235,45866.1638,128.5403,0.28,2,junction_floor
91259000355,NA,412.5536,528.1306,115.577,28.02,2,junction_floor
81380300011,NA,42987.1771,72518.9531,29531.776,68.7,2,junction_floor
71327000243,NA,37121.4193,37139.6588,18.2395,0.05,2,junction_floor
71215000373,NA,1654.5494,2265.4553,610.9059,36.92,2,junction_floor
72408900023,NA,17220.0463,18316.6136,1096.5673,6.37,2,junction_floor
71181400083,NA,244107.8594,244230.1312,122.2718,0.05,2,junction_floor
71181400273,NA,1891.3272,3178.9993,1287.6721,68.08,2,junction_floor
83187000101,NA,43662.197,44857.6952,1195.4983,2.74,2,junction_floor
83187000251,NA,2662.3561,2850.4537,188.0976,7.07,2,junction_floor
72549700133,NA,12560.5605,25121.1211,12560.5605,100.0,2,junction_floor
72608300231,NA,31989.9077,33279.6812,1289.7735,4.03,2,junction_floor
73270900213,NA,112584.3203,113093.6678,509.3475,0.45,2,junction_floor
73270900145,NA,166.1285,203.7057,37.5772,22.62,2,junction_floor
74223300021,NA,166855.9062,169595.9954,2740.0891,1.64,2,junction_floor
74299900501,NA,38271.5563,62965.7812,24694.2249,64.52,2,junction_floor
81230600241,NA,9030.723,9085.8253,55.1023,0.61,2,junction_floor
72583100023,NA,158144.5156,202411.1758,44266.6602,27.99,2,junction_floor
71224300593,NA,205.5583,882.873,677.3146,329.5,2,junction_floor
71352700021,NA,30839.8916,51946.1719,21106.2802,68.44,2,junction_floor
74222400101,NA,1704.2031,3303.335,1599.1318,93.83,2,junction_floor
71349000133,NA,28604.9588,46864.0759,18259.1171,63.83,2,junction_floor
75379000305,NA,3026.2423,3072.4026,46.1603,1.53,2,junction_floor
71329000133,NA,30265.6289,30299.9803,34.3514,0.11,2,junction_floor
71215000133,NA,978103.7421,1955026.0686,976922.3265,99.88,2,junction_floor
71215000481,NA,1735.8445,2759.7158,1023.8713,58.98,2,junction_floor
72405000621,NA,1295.0783,1375.1652,80.0869,6.18,2,junction_floor
71230500081,NA,324125.2812,353916.0819,29790.8006,9.19,2,junction_floor
83220000551,NA,5558.8497,6062.4788,503.629,9.06,2,junction_floor
