reach_id,region,original_facc,corrected_facc,delta,delta_pct,n_rch_up,correction_type
53120200041,OC,2769.32,3841.8469,1072.5269,38.73,2,junction_floor
56275200021,OC,3581.6558,3586.2817,4.6259,0.13,2,junction_floor
51180100025,OC,50556.6602,56923.8024,6367.1423,12.59,2,junction_floor
56238300161,OC,39932.3008,66141.4688,26209.168,65.63,2,junction_floor
56238300103,OC,13960.0988,41960.2277,28000.1289,200.57,2,junction_floor
53154000381,OC,659.5016,675.3575,15.8559,2.4,2,junction_floor
53159301085,OC,602.2876,2582.9676,1980.68,328.86,2,junction_floor
52140100441,OC,12172.6261,89745.3419,77572.7158,637.27,2,junction_floor
52150900835,OC,797.0836,839.4608,42.3772,5.32,2,junction_floor
56463000151,OC,321102.7796,326923.9977,5821.2182,1.81,2,junction_floor
56395000293,OC,862.9292,894.9593,32.0301,3.71,2,junction_floor
56823000091,OC,141522.3332,187871.0063,46348.6731,32.75,2,junction_floor
52180400211,OC,8429.6829,8774.5569,344.874,4.09,2,junction_floor
53130200121,OC,11839.0039,18505.2505,6666.2466,56.31,2,junction_floor
56251000095,OC,4696.6599,6965.5366,2268.8767,48.31,2,junction_floor
56424900143,OC,15338.6994,17927.801,2589.1016,16.88,2,junction_floor
52501800311,OC,1675.497,2992.3503,1316.8533,78.59,2,junction_floor
53150000295,OC,1083.2134,1324.9712,241.7578,22.32,2,junction_floor
56220300011,OC,82732.5326,88538.4163,5805.8837,7.02,2,junction_floor
52173300175,OC,640.9771,1432.3074,791.3303,123.46,2,junction_floor
51501400085,OC,6067.2684,6990.1154,922.847,15.21,2,junction_floor
53160700011,OC,13130.0566,19564.8691,6434.8125,49.01,2,junction_floor
53159302975,OC,1079.8954,1237.9428,158.0474,14.64,2,junction_floor
53160100191,OC,73752.4196,74367.8845,615.4649,0.83,2,junction_floor
53130300045,OC,5898.7978,17024.5695,11125.7717,188.61,2,junction_floor
56299500165,OC,13076.4103,14011.4125,935.0022,7.15,2,junction_floor
56410500151,OC,869049.2261,1009286.2342,140237.0081,16.14,2,junction_floor
53158000791,OC,1218.1039,1240.8695,22.7656,1.87,2,junction_floor
53159700875,OC,4253.1406,7878.6912,3625.5505,85.24,2,junction_floor
57109100115,OC,214.6431,288.6747,74.0316,34.49,2,junction_floor
52160600011,OC,12365.9121,12643.1243,277.2122,2.24,2,junction_floor
53130100205,OC,378.1871,417.4062,39.2191,10.37,2,junction_floor
56463000201,OC,155174.4461,196975.707,41801.261,26.94,2,junction_floor
52140100155,OC,82145.901,93969.673,11823.772,14.39,2,junction_floor
56294100025,OC,78121.6768,78145.4159,23.7391,0.03,3,junction_floor
52173300185,OC,817.9797,1157.3047,339.325,41.48,2,junction_floor
52180500071,OC,32993.6273,58879.0645,25885.4372,78.46,2,junction_floor
51501800304,OC,3339.3911,4007.3702,667.9791,20.0,2,junction_floor
53152000171,OC,5835.4944,9079.4077,3243.9133,55.59,2,junction_floor
53130200035,OC,15391.0612,16320.4519,929.3907,6.04,2,junction_floor
51120000175,OC,15332.4385,17548.5742,2216.1357,14.45,2,junction_floor
53180700201,OC,46633.9363,71465.4609,24831.5246,53.25,2,junction_floor
53130200701,OC,12853.1494,14884.8722,2031.7228,15.81,2,junction_floor
53159302345,OC,554.2298,2022.3482,1468.1184,264.89,2,junction_floor
53159100445,OC,3970.6897,7721.4358,3750.7461,94.46,2,junction_floor
52406000061,OC,214.6898,239.8335,25.1437,11.71,2,junction_floor
51150300065,OC,2748.9489,17294.7991,14545.8502,529.14,2,junction_floor
53140400053,OC,16391.252,22924.5571,6533.3051,39.86,2,junction_floor
51190200035,OC,6562.7773,6715.1616,152.3842,2.32,2,junction_floor
51190400191,OC,3840.6168,4375.0977,534.4809,13.92,2,junction_floor
53140200261,OC,14332.923,14621.2268,288.3038,2.01,2,junction_floor
51130300015,OC,3863.9672,13693.7429,9829.7757,254.4,2,junction_floor
56255000055,OC,10921.5615,21814.4805,10892.919,99.74,2,junction_floor
52150900255,OC,237.8704,307.5252,69.6548,29.28,2,junction_floor
56350000165,OC,193121.9171,281577.9219,88456.0048,45.8,2,junction_floor
53159700235,OC,892.6511,926.0969,33.4458,3.75,2,junction_floor
52160600101,OC,3481.5309,4179.1797,697.6488,20.04,2,junction_floor
51180200051,OC,12371.6737,15344.0173,2972.3437,24.03,2,junction_floor
52139900505,OC,1284.2874,5530.8103,4246.5229,330.65,2,junction_floor
52139900365,OC,7170.5331,7947.944,777.4109,10.84,2,junction_floor
52501700275,OC,2074.5223,2281.3892,206.8669,9.97,2,junction_floor
56299300025,OC,2619.8722,3499.3253,879.4531,33.57,2,junction_floor
56827000051,OC,91622.5169,142834.1758,51211.6589,55.89,2,junction_floor
56259100265,OC,594.1005,1077.12,483.0195,81.3,2,junction_floor
56324100023,OC,74139.4766,75197.3932,1057.9167,1.43,2,junction_floor
52150400025,OC,6597.3433,7069.4977,472.1543,7.16,2,junction_floor
56900100035,OC,5901.6748,8954.374,3052.6992,51.73,2,junction_floor
56430300301,OC,537003.0781,582042.7805,45039.7023,8.39,2,junction_floor
52180100215,OC,15559.7089,75916.8017,60357.0928,387.91,2,junction_floor
52402400271,OC,1332.6312,1578.2669,245.6357,18.43,2,junction_floor
53140400123,OC,15332.9956,20764.9514,5431.9558,35.43,2,junction_floor
57101000041,OC,3356.0,4157.9613,801.9613,23.9,2,junction_floor
53180100131,OC,76548.5775,78789.9556,2241.3781,2.93,2,junction_floor
53130300645,OC,118.8386,34220.2148,34101.3763,28695.55,2,junction_floor
53130300515,OC,287.1605,308.3716,21.2111,7.39,2,junction_floor
56299500155,OC,13246.8741,13299.4493,52.5752,0.4,2,junction_floor
51114000351,OC,2067.7224,2339.779,272.0566,13.16,2,junction_floor
56862000011,OC,77064.9632,131686.3555,54621.3923,70.88,2,junction_floor
53160100135,OC,75621.9074,75676.2056,54.2982,0.07,2,junction_floor
53160200081,OC,20848.8684,35044.4844,14195.616,68.09,2,junction_floor
56220300221,OC,3662.5297,3857.2894,194.7597,5.32,2,junction_floor
56350000323,OC,3597.1019,4109.8544,512.7525,14.25,2,junction_floor
56296000021,OC,23787.7109,47559.6836,23771.9727,99.93,2,junction_floor
53157000025,OC,3293.6753,3400.0284,106.3531,3.23,2,junction_floor
51150400095,OC,13827.5605,15621.2372,1793.6767,12.97,2,junction_floor
56370600031,OC,5611.0802,5844.6236,233.5434,4.16,2,junction_floor
56298700091,OC,20320.0,38530.0,18210.0,89.62,2,junction_floor
53180700921,OC,1676.8766,2598.0151,921.1386,54.93,2,junction_floor
56425000031,OC,136725.4587,247297.2812,110571.8226,80.87,2,junction_floor
53140100121,OC,56054.6953,110572.8008,54518.1055,97.26,2,junction_floor
52177000245,OC,4029.1911,5022.1915,993.0004,24.65,2,junction_floor
52177000255,OC,3688.6617,4217.6403,528.9786,14.34,2,junction_floor
51180900031,OC,12885.0493,20185.3887,7300.3393,56.66,2,junction_floor
51180900051,OC,9992.3878,15825.4482,5833.0604,58.38,2,junction_floor
56239000255,OC,3561.3275,6491.0412,2929.7137,82.26,2,junction_floor
56239000235,OC,4106.1447,4120.5117,14.367,0.35,2,junction_floor
52140100201,OC,80878.7699,81896.7618,1017.9918,1.26,2,junction_floor
51170000345,OC,12371.4854,19989.0552,7617.5698,61.57,2,junction_floor
52402200021,OC,2832.1899,3700.8849,868.695,30.67,2,junction_floor
53160300371,OC,1169.1346,1196.8121,27.6775,2.37,2,junction_floor
56194100111,OC,44226.5893,44552.1042,325.5149,0.74,2,junction_floor
56900100713,OC,1061.6596,1142.1671,80.5075,7.58,2,junction_floor
52150400031,OC,6271.2832,7861.1193,1589.8361,25.35,2,junction_floor
53159100735,OC,4383.2153,6391.1577,2007.9424,45.81,2,junction_floor
51150300085,OC,1374.9225,1426.9206,51.9981,3.78,2,junction_floor
52173200101,OC,2432.0549,3945.0498,1512.9949,62.21,2,junction_floor
53140400153,OC,9711.5764,10714.2139,1002.6375,10.32,2,junction_floor
53180300051,OC,71596.5469,115197.875,43601.3281,60.9,2,junction_floor
53180400061,OC,6420.5843,10972.0751,4551.4908,70.89,2,junction_floor
52140300101,OC,65856.8625,127409.1406,61552.2781,93.46,2,junction_floor
57109100155,OC,180.3471,190.1508,9.8037,5.44,2,junction_floor
57109300045,OC,177.6421,308.0679,130.4258,73.42,2,junction_floor
51180500011,OC,26853.6855,51616.0156,24762.3301,92.21,2,junction_floor
53130200131,OC,11768.7646,13475.0815,1706.3169,14.5,2,junction_floor
56464900013,OC,15233.5581,17700.567,2467.0089,16.19,2,junction_floor
52150200025,OC,16257.705,20016.9991,3759.2941,23.12,2,junction_floor
56842200011,OC,833330.0,983111.3329,149781.3329,17.97,2,junction_floor
56850000541,OC,372608.5,502803.2788,130194.7788,34.94,2,junction_floor
51180300011,OC,35907.4336,37053.5825,1146.1489,3.19,2,junction_floor
56239000185,OC,7378.5957,7383.6294,5.0337,0.07,2,junction_floor
56220900011,OC,41186.8566,42282.0098,1095.1532,2.66,2,junction_floor
53159701025,OC,5855.1704,11571.9937,5716.8232,97.64,2,junction_floor
53159700865,OC,4261.3223,4302.3687,41.0464,0.96,2,junction_floor
53130100055,OC,740.6154,32424.5676,31683.9522,4278.06,2,junction_floor
52120700171,OC,16402.7147,24585.2401,8182.5254,49.89,2,junction_floor
53130100225,OC,311.4475,420.5763,109.1288,35.04,2,junction_floor
56350000035,OC,53170.1293,53319.3058,149.1765,0.28,2,junction_floor
52140100171,OC,81797.0469,89745.3419,7948.295,9.72,2,junction_floor
52501500905,OC,2044.3643,3237.2958,1192.9315,58.35,2,junction_floor
52173700045,OC,6493.306,10083.7856,3590.4796,55.3,2,junction_floor
51117000245,OC,1788.3337,1815.5873,27.2536,1.52,2,junction_floor
56259100075,OC,449.9236,933.9206,483.997,107.57,2,junction_floor
51501100055,OC,1429.1814,3467.8661,2038.6847,142.65,2,junction_floor
56900100603,OC,1682.219,1857.9227,175.7037,10.44,2,junction_floor
53159100025,OC,30400.291,30633.8502,233.5592,0.77,2,junction_floor
52150500295,OC,1622.4926,3071.4946,1449.0021,89.31,2,junction_floor
51170000195,OC,381.2802,696.0325,314.7523,82.55,2,junction_floor
53159302795,OC,273.9959,428.1685,154.1726,56.27,2,junction_floor
53140400323,OC,3242.5792,6113.4404,2870.8612,88.54,2,junction_floor
56298300101,OC,45332.0,82187.0,36855.0,81.3,2,junction_floor
52501800481,OC,1566.0,2482.8851,916.8851,58.55,2,junction_floor
53110100025,OC,1695.3081,3390.6162,1695.3081,100.0,2,junction_floor
56391100035,OC,861.7987,969.6087,107.81,12.51,2,junction_floor
51114000081,OC,8818.2063,16732.2515,7914.0452,89.75,2,junction_floor
57202000143,OC,3078.8347,6142.7818,3063.9471,99.52,3,junction_floor
53110500081,OC,4774.3613,5054.1655,279.8042,5.86,2,junction_floor
56391700145,OC,1277.1117,1288.4561,11.3444,0.89,2,junction_floor
56873000291,OC,7240.6664,16003.9101,8763.2437,121.03,2,junction_floor
56823000101,OC,187754.5469,252948.5116,65193.9648,34.72,2,junction_floor
53159701595,OC,224.003,397.2599,173.2569,77.35,2,junction_floor
52160700171,OC,15021.1055,18366.5128,3345.4073,22.27,2,junction_floor
52409801191,OC,4470.7203,6668.0625,2197.3422,49.15,2,junction_floor
52501800041,OC,8157.7152,10949.3511,2791.6359,34.22,2,junction_floor
52501800491,OC,563.0527,958.5337,395.481,70.24,2,junction_floor
56380000371,OC,807.251,1430.5507,623.2997,77.21,2,junction_floor
51180200121,OC,5311.4472,10079.5352,4768.088,89.77,2,junction_floor
52173300166,OC,844.9014,1255.3048,410.4034,48.57,2,junction_floor
56343000101,OC,75532.289,97204.6895,21672.4005,28.69,2,junction_floor
52150900465,OC,1681.9527,2009.8483,327.8956,19.49,2,junction_floor
52150900415,OC,2666.1694,43519.7905,40853.6211,1532.3,2,junction_floor
53130100105,OC,762.0891,791.3667,29.2776,3.84,2,junction_floor
53130900025,OC,7314.1679,7323.9699,9.802,0.13,2,junction_floor
