reach_id,region,original_facc,corrected_facc,delta,delta_pct,n_rch_up,correction_type
62266404351,SA,7042.6098,9840.167,2797.5571,39.72,2,junction_floor
63470300011,SA,186517.3878,186671.4072,154.0195,0.08,2,junction_floor
61570400031,SA,8610.3007,10008.6394,1398.3387,16.24,2,junction_floor
64253000011,SA,920159.8809,923244.562,3084.6811,0.34,2,junction_floor
61660500034,SA,34238.0717,68476.2109,34238.1392,100.0,2,junction_floor
62296400181,SA,49739.4718,52309.0508,2569.579,5.17,2,junction_floor
64253000193,SA,909910.192,910365.6533,455.4613,0.05,2,junction_floor
63530800015,SA,23691.7525,32495.9966,8804.2441,37.16,2,junction_floor
62297802121,SA,2625.4377,3797.5511,1172.1134,44.64,2,junction_floor
62296400421,SA,15303.701,26140.1426,10836.4416,70.81,2,junction_floor
64221000021,SA,943376.538,1081017.2075,137640.6695,14.59,2,junction_floor
64253001283,SA,480.1759,531.51,51.334,10.69,2,junction_floor
62441300021,SA,297405.208,297744.9743,339.7662,0.11,2,junction_floor
63304500083,SA,41644.5819,66356.6615,24712.0796,59.34,2,junction_floor
62252800041,SA,9509.9317,11003.3162,1493.3845,15.7,2,junction_floor
62443000151,SA,236564.8491,380336.6562,143771.8071,60.77,2,junction_floor
61622500061,SA,29924.2497,58752.7461,28828.4964,96.34,2,junction_floor
64181100091,SA,305310.7464,308185.1596,2874.4132,0.94,2,junction_floor
62252900141,SA,39860.2127,57586.2207,17726.008,44.47,2,junction_floor
62292100431,SA,413684.6759,726110.0503,312425.3744,75.52,2,junction_floor
62225900031,SA,131991.9208,207124.875,75132.9542,56.92,2,junction_floor
64181600041,SA,9926.4556,11289.7261,1363.2705,13.73,2,junction_floor
64181700023,SA,294720.4257,294992.9549,272.5292,0.09,2,junction_floor
64249500691,SA,27846.8865,48059.1778,20212.2913,72.58,2,junction_floor
62287100311,SA,39038.9372,51563.0725,12524.1353,32.08,2,junction_floor
61550201361,SA,8480.9779,10222.4712,1741.4934,20.53,2,junction_floor
62293200091,SA,18155.1836,21293.5021,3138.3185,17.29,2,junction_floor
62293200553,SA,5973.3555,6074.7423,101.3868,1.7,2,junction_floor
64242300611,SA,53369.2097,66775.7168,13406.5071,25.12,2,junction_floor
62296900291,SA,16281.2743,18619.3047,2338.0304,14.36,2,junction_floor
61520700101,SA,16005.4258,19380.9011,3375.4754,21.09,2,junction_floor
62302000215,SA,7402.5334,7474.0005,71.4671,0.97,2,junction_floor
64187900911,SA,2100.6226,2387.1653,286.5427,13.64,2,junction_floor
64251300231,SA,1051153.2547,1053381.0882,2227.8335,0.21,2,junction_floor
62284901111,SA,4636.9574,6082.5836,1445.6262,31.18,2,junction_floor
62299301561,SA,953.0673,1717.4047,764.3373,80.2,2,junction_floor
64295000043,SA,85272.301,88260.586,2988.285,3.5,2,junction_floor
61650800233,SA,8488.626,16584.5664,8095.9404,95.37,2,junction_floor
64252100333,SA,65489.2164,65567.0749,77.8585,0.12,2,junction_floor
62285200011,SA,134031.1131,397521.4932,263490.3801,196.59,2,junction_floor
64252300223,SA,1992.0321,2017.1414,25.1094,1.26,2,junction_floor
67208000211,SA,2747.0903,4632.5239,1885.4336,68.63,2,junction_floor
62222200081,SA,5042.3716,7360.0154,2317.6438,45.96,2,junction_floor
62294100731,SA,281951.3731,492657.5288,210706.1557,74.73,2,junction_floor
64249500641,SA,27846.8865,38213.3631,10366.4766,37.23,2,junction_floor
61550201191,SA,37210.8099,55782.4461,18571.6362,49.91,2,junction_floor
67202200831,SA,4427.4448,5523.6299,1096.1851,24.76,2,junction_floor
62500100145,SA,545662.9931,1091325.9862,545662.9931,100.0,2,junction_floor
65240900161,SA,1132.2264,3525.5203,2393.2938,211.38,2,junction_floor
65321000641,SA,103399.1172,206728.5156,103329.3984,99.93,2,junction_floor
62292100641,SA,213319.9457,213806.7528,486.8071,0.23,2,junction_floor
62298900261,SA,35972.02,65388.0938,29416.0738,81.77,2,junction_floor
62299700471,SA,1296.4115,1364.2771,67.8656,5.23,2,junction_floor
61520200221,SA,28982.6934,54163.0859,25180.3925,86.88,2,junction_floor
62223500031,SA,273816.2118,275738.2806,1922.0689,0.7,2,junction_floor
62410500123,SA,751216.3125,752069.1606,852.8481,0.11,2,junction_floor
61610600101,SA,8019.2173,10356.3887,2337.1714,29.14,2,junction_floor
64281900073,SA,223637.6511,224347.5302,709.8791,0.32,2,junction_floor
62298701411,SA,1311.1242,1493.0198,181.8956,13.87,2,junction_floor
64281900113,SA,219231.1327,219311.4022,80.2695,0.04,2,junction_floor
61622200081,SA,30211.1306,31654.6895,1443.559,4.78,2,junction_floor
62224500041,SA,25004.8336,38927.2305,13922.3969,55.68,2,junction_floor
61594200031,SA,3900.793,4322.1012,421.3083,10.8,2,junction_floor
64267000053,SA,34217.7833,38528.7981,4311.0148,12.6,2,junction_floor
65321000111,SA,113746.1905,155476.0129,41729.8224,36.69,2,junction_floor
62293600281,SA,11631.0254,15771.7964,4140.771,35.6,2,junction_floor
64269000153,SA,12715.2559,12856.2526,140.9968,1.11,2,junction_floor
62268400181,SA,2991.8293,4049.918,1058.0887,35.37,2,junction_floor
63101000445,SA,2684.6559,2870.2668,185.6109,6.91,2,junction_floor
62210000265,SA,2373.4714,4409.0554,2035.584,85.76,2,junction_floor
62221100055,SA,655490.7186,655996.1745,505.4559,0.08,2,junction_floor
62244900431,SA,3246.3678,4121.5526,875.1848,26.96,2,junction_floor
64245700161,SA,586403.8125,1172792.8125,586389.0,100.0,2,junction_floor
64245900011,SA,557427.25,557934.3702,507.1202,0.09,2,junction_floor
62251000111,SA,7260206.4991,8374047.6575,1113841.1584,15.34,2,junction_floor
62252100021,SA,3702528.1575,3714065.9978,11537.8403,0.31,2,junction_floor
61547001053,SA,509.0904,763.2457,254.1553,49.92,2,junction_floor
61547000151,SA,36888.7658,69099.1016,32210.3358,87.32,2,junction_floor
65378800171,SA,462.3741,1066.3741,604.0,130.63,2,junction_floor
61650801253,SA,97.3776,101.0518,3.6742,3.77,2,junction_floor
64298000093,SA,18558.957,18811.0189,252.0619,1.36,2,junction_floor
62258000121,SA,21736.1231,21843.7218,107.5987,0.5,2,junction_floor
63499000023,SA,13383.7051,13935.4982,551.7931,4.12,2,junction_floor
62285700021,SA,381251.5752,441848.404,60596.8288,15.89,2,junction_floor
63516100043,SA,52990.6016,65098.874,12108.2725,22.85,2,junction_floor
64299000053,SA,35195.6852,35511.4636,315.7784,0.9,2,junction_floor
64216000015,SA,11601.998,13578.6441,1976.646,17.04,2,junction_floor
62233000075,SA,12746921.8545,12747657.1553,735.3008,0.01,2,junction_floor
62292400181,SA,34690.1758,60265.707,25575.5312,73.73,2,junction_floor
63480600151,SA,12334.1236,15565.1845,3231.0609,26.2,2,junction_floor
62255000121,SA,4453695.5,4458326.4565,4630.9565,0.1,2,junction_floor
62256100021,SA,157199.6183,157307.3564,107.7381,0.07,2,junction_floor
62297800141,SA,89539.7684,92123.1521,2583.3837,2.89,2,junction_floor
62297800181,SA,87112.3295,90318.5527,3206.2232,3.68,2,junction_floor
62256100053,SA,145408.9177,145435.4186,26.5009,0.02,2,junction_floor
