reach_id,region,original_facc,corrected_facc,delta,delta_pct,correction_type
43450400101,AS,1480.8278,697.4094,-783.4183,-52.9,cascade_surplus
34262900651,AS,310.8265,156.9439,-153.8826,-49.51,cascade_surplus
35110802231,AS,234.4136,151.986,-82.4277,-35.16,cascade_surplus
35412900201,AS,390.2421,204.9714,-185.2707,-47.48,cascade_surplus
34263900121,AS,549.5779,354.9132,-194.6647,-35.42,cascade_surplus
31365000531,AS,397.1155,258.1026,-139.0129,-35.01,cascade_surplus
35449100371,AS,305.28,41.5073,-263.7727,-86.4,cascade_surplus
34241400361,AS,124.1617,58.0885,-66.0732,-53.22,cascade_surplus
35149100321,AS,1782.9275,16.8206,-1766.1069,-99.06,cascade_surplus
35126000831,AS,198.4226,38.2346,-160.1881,-80.73,cascade_surplus
34282000561,AS,1663.2788,1049.041,-614.2378,-36.93,cascade_surplus
44108000065,AS,104.5143,35.7695,-68.7448,-65.78,cascade_surplus
49170900131,AS,834.289,102.816,-731.473,-87.68,cascade_surplus
49204400133,AS,3051.7422,525.8123,-2525.9299,-82.77,cascade_surplus
33164400151,AS,345.3148,98.5299,-246.7849,-71.47,cascade_surplus
33150300671,AS,246.5198,148.9418,-97.5779,-39.58,cascade_surplus
33150301031,AS,349.2613,189.7577,-159.5036,-45.67,cascade_surplus
45256300071,AS,2663.7092,471.161,-2192.5483,-82.31,cascade_surplus
34214000871,AS,368.4601,234.6456,-133.8145,-36.32,cascade_surplus
33145000611,AS,1263.2397,46.8539,-1216.3858,-96.29,cascade_surplus
33172601061,AS,3538.5854,562.8346,-2975.7508,-84.09,cascade_surplus
33172601041,AS,1982.9668,165.7061,-1817.2607,-91.64,cascade_surplus
35450400991,AS,486.8573,322.1147,-164.7425,-33.84,cascade_surplus
35450400561,AS,1337.6536,374.5514,-963.1022,-72.0,cascade_surplus
35601300301,AS,283.2294,122.1536,-161.0757,-56.87,cascade_surplus
45314200471,AS,590.5245,221.6723,-368.8522,-62.46,cascade_surplus
44407800101,AS,134.4841,74.1656,-60.3185,-44.85,cascade_surplus
45243803061,AS,248.7537,148.095,-100.6587,-40.47,cascade_surplus
42440400811,AS,305.3766,113.6943,-191.6824,-62.77,cascade_surplus
43682200403,AS,228.1398,142.741,-85.3988,-37.43,cascade_surplus
33200300141,AS,164.6394,21.0894,-143.5499,-87.19,cascade_surplus
43180000571,AS,834.0739,542.0039,-292.0699,-35.02,cascade_surplus
45241600661,AS,303.0849,201.4456,-101.6393,-33.53,cascade_surplus
33122001501,AS,110.8774,50.4966,-60.3809,-54.46,cascade_surplus
35301200831,AS,97.8202,28.969,-68.8512,-70.39,cascade_surplus
35301200561,AS,222.0744,127.133,-94.9414,-42.75,cascade_surplus
35301203151,AS,2209.5867,130.4586,-2079.1281,-94.1,cascade_surplus
35301202151,AS,175.7237,74.382,-101.3417,-57.67,cascade_surplus
35301201451,AS,151.3157,88.4274,-62.8882,-41.56,cascade_surplus
35301202621,AS,166.447,53.1977,-113.2493,-68.04,cascade_surplus
35301207141,AS,61.3839,19.6251,-41.7589,-68.03,cascade_surplus
45291000621,AS,131.4043,81.6084,-49.7959,-37.9,cascade_surplus
45246400391,AS,459.0247,260.8238,-198.2009,-43.18,cascade_surplus
35419800351,AS,343.0244,129.6506,-213.3738,-62.2,cascade_surplus
33200300061,AS,120.8268,59.9458,-60.8811,-50.39,cascade_surplus
35196000401,AS,304.7024,189.8213,-114.8811,-37.7,cascade_surplus
43492200331,AS,858.4859,559.4956,-298.9903,-34.83,cascade_surplus
45311300615,AS,24.4665,10.8132,-13.6533,-55.8,cascade_surplus
43305800271,AS,207.6621,114.0856,-93.5765,-45.06,cascade_surplus
35186600411,AS,282.9927,107.4906,-175.5021,-62.02,cascade_surplus
32226000761,AS,305.8619,177.4827,-128.3792,-41.97,cascade_surplus
34243400681,AS,3171.6172,662.903,-2508.7142,-79.1,cascade_surplus
33169901161,AS,434.9366,244.2335,-190.7031,-43.85,cascade_surplus
34300000281,AS,223.5392,139.3252,-84.214,-37.67,cascade_surplus
35302000441,AS,42.0907,16.6081,-25.4827,-60.54,cascade_surplus
32221100231,AS,577.6266,379.1436,-198.483,-34.36,cascade_surplus
35449400141,AS,913.3872,395.889,-517.4982,-56.66,cascade_surplus
35185300171,AS,493.7809,199.3801,-294.4008,-59.62,cascade_surplus
43640500221,AS,1235.1444,709.854,-525.2904,-42.53,cascade_surplus
45100500985,AS,139.7299,23.2223,-116.5076,-83.38,bifurc_surplus
45100501255,AS,132.3871,15.6036,-116.7835,-88.21,bifurc_surplus
45311901525,AS,48.0865,19.7119,-28.3746,-59.01,cascade_surplus
45311901775,AS,212.8577,5.7712,-207.0865,-97.29,bifurc_surplus
35147000521,AS,303.3078,32.2145,-271.0932,-89.38,cascade_surplus
35147000861,AS,142.1959,86.9959,-55.2,-38.82,cascade_surplus
35414900751,AS,258.2228,165.3696,-92.8532,-35.96,cascade_surplus
35148000951,AS,497.1553,251.1346,-246.0207,-49.49,cascade_surplus
