reach_id,region,original_facc,corrected_facc,delta,delta_pct,correction_type
24230000105,EU,1777.6661,51.8871,-1725.779,-97.08,bifurc_surplus
24230000165,EU,1626.6669,7.4181,-1619.2487,-99.54,bifurc_surplus
27106000581,EU,188.376,120.1082,-68.2677,-36.24,cascade_surplus
21308000341,EU,336.0414,153.3749,-182.6665,-54.36,cascade_surplus
26188800251,EU,490.8645,310.4438,-180.4207,-36.76,cascade_surplus
26188900891,EU,161.914,103.4988,-58.4152,-36.08,cascade_surplus
23270300725,EU,360.0034,62.058,-297.9455,-82.76,cascade_surplus
26200102655,EU,290.483,163.5382,-126.9449,-43.7,cascade_surplus
24440500323,EU,10119.9746,205.9689,-9914.0057,-97.96,cascade_surplus
27103100481,EU,149.7666,89.8931,-59.8735,-39.98,cascade_surplus
25256000473,EU,398.8772,230.6983,-168.1789,-42.16,cascade_surplus
25280500223,EU,7509.9771,93.6628,-7416.3142,-98.75,cascade_surplus
28321000521,EU,46.4451,15.3055,-31.1396,-67.05,cascade_surplus
22733000403,EU,65.3738,24.8374,-40.5365,-62.01,cascade_surplus
26170100355,EU,201.3017,83.6914,-117.6103,-58.42,cascade_surplus
25102300273,EU,635.7121,32.7424,-602.9697,-94.85,cascade_surplus
24296100083,EU,262.7937,111.2116,-151.5821,-57.68,cascade_surplus
29472000221,EU,287.3823,13.7488,-273.6335,-95.22,cascade_surplus
28299000825,EU,70.4142,16.1717,-54.2425,-77.03,cascade_surplus
25253000273,EU,337.2018,20.8917,-316.3101,-93.8,cascade_surplus
24360001113,EU,56.144,20.1921,-35.9519,-64.04,cascade_surplus
23302100071,EU,921.812,457.0622,-464.7498,-50.42,cascade_surplus
26190600661,EU,144.9724,60.6925,-84.2799,-58.14,cascade_surplus
26190500011,EU,499.3795,327.107,-172.2725,-34.5,cascade_surplus
26200200035,EU,193.6267,80.7428,-112.8839,-58.3,cascade_surplus
24450201141,EU,363.0806,212.8997,-150.1809,-41.36,cascade_surplus
21308000613,EU,293.0967,118.3239,-174.7728,-59.63,cascade_surplus
21406400813,EU,199.0176,127.9303,-71.0873,-35.72,cascade_surplus
28311900383,EU,978.0908,605.9448,-372.146,-38.05,cascade_surplus
25260200073,EU,178.6703,15.6802,-162.9902,-91.22,cascade_surplus
26188901061,EU,238.2168,156.7711,-81.4456,-34.19,cascade_surplus
23270100315,EU,127.7716,70.4032,-57.3684,-44.9,cascade_surplus
27105900131,EU,537.2605,38.802,-498.4585,-92.78,cascade_surplus
28361000173,EU,438.807,188.2951,-250.5119,-57.09,cascade_surplus
27108000191,EU,607.74,317.8912,-289.8488,-47.69,cascade_surplus
24432000381,EU,209.738,112.4415,-97.2965,-46.39,cascade_surplus
