reach_id,region,original_facc,corrected_facc,delta,delta_pct,correction_type
62447800341,SA,2639.9587,899.7765,-1740.1823,-65.92,cascade_surplus
62266600571,SA,5397.7861,383.6253,-5014.1608,-92.89,cascade_surplus
64253001743,SA,283.629,57.144,-226.485,-79.85,cascade_surplus
64253001643,SA,484.8264,30.7385,-454.0879,-93.66,cascade_surplus
64160700513,SA,114.6019,71.6187,-42.9832,-37.51,cascade_surplus
64247800971,SA,826.2444,537.7769,-288.4675,-34.91,cascade_surplus
66170000183,SA,219.3395,53.3075,-166.032,-75.7,cascade_surplus
64261000323,SA,97.1119,57.1424,-39.9695,-41.16,cascade_surplus
62293200713,SA,520.8097,199.5706,-321.2391,-61.68,cascade_surplus
64187901243,SA,236.3374,135.426,-100.9114,-42.7,cascade_surplus
62288700171,SA,335.5261,194.4869,-141.0392,-42.04,cascade_surplus
62298402771,SA,491.4576,309.0204,-182.4372,-37.12,cascade_surplus
62298400931,SA,794.1394,466.7796,-327.3598,-41.22,cascade_surplus
64245100271,SA,3779.2724,2167.66,-1611.6125,-42.64,cascade_surplus
62298801221,SA,210.6639,111.446,-99.2179,-47.1,cascade_surplus
62410500353,SA,86.4193,15.2569,-71.1624,-82.35,cascade_surplus
61610400285,SA,380.0196,224.9577,-155.0618,-40.8,cascade_surplus
62291001041,SA,193.6973,114.3051,-79.3922,-40.99,cascade_surplus
62302000855,SA,372.7306,91.2414,-281.4892,-75.52,bifurc_surplus
62298601971,SA,139.6772,30.3699,-109.3073,-78.26,cascade_surplus
61650800753,SA,1363.3586,64.0949,-1299.2637,-95.3,cascade_surplus
62266405121,SA,107.6844,70.9464,-36.738,-34.12,cascade_surplus
64291000311,SA,578.2693,45.168,-533.1014,-92.19,cascade_surplus
66210200661,SA,240.9838,152.261,-88.7228,-36.82,cascade_surplus
66190600271,SA,180.6171,118.8121,-61.805,-34.22,cascade_surplus
66252000781,SA,277.8697,132.1559,-145.7138,-52.44,cascade_surplus
66257000171,SA,258.3286,160.8542,-97.4744,-37.73,cascade_surplus
67202200411,SA,1266.804,470.9962,-795.8078,-62.82,cascade_surplus
67205000771,SA,225.6126,117.6217,-107.9909,-47.87,cascade_surplus
62294600991,SA,10474.9053,2468.4949,-8006.4104,-76.43,cascade_surplus
62243400041,SA,3107.0285,1797.8165,-1309.2121,-42.14,cascade_surplus
64251300523,SA,1400.5264,783.7811,-616.7453,-44.04,cascade_surplus
61209900693,SA,1579.9768,899.9016,-680.0752,-43.04,cascade_surplus
66140000843,SA,145.9787,28.4358,-117.5429,-80.52,cascade_surplus
62225400131,SA,881.804,316.6829,-565.121,-64.09,cascade_surplus
64253001253,SA,90.9025,33.5648,-57.3377,-63.08,cascade_surplus
61622900191,SA,428.7734,279.6965,-149.0769,-34.77,cascade_surplus
62266502401,SA,3132.6045,1570.8467,-1561.7578,-49.85,cascade_surplus
62305000565,SA,162.3059,104.479,-57.8269,-35.63,cascade_surplus
62293900353,SA,8564.1684,1642.9453,-6921.2231,-80.82,cascade_surplus
67206000681,SA,342.1155,199.9699,-142.1456,-41.55,cascade_surplus
65329000641,SA,334.628,178.4029,-156.2251,-46.69,cascade_surplus
64278100943,SA,64419.8906,709.4394,-63710.4512,-98.9,cascade_surplus
61597000511,SA,1269.3767,804.1719,-465.2048,-36.65,cascade_surplus
64249401221,SA,685.239,385.4692,-299.7699,-43.75,cascade_surplus
61640500061,SA,15876.6338,1097.3594,-14779.2744,-93.09,cascade_surplus
64289300163,SA,222.1055,108.5469,-113.5586,-51.13,cascade_surplus
61100201331,SA,2448.3545,1518.7087,-929.6458,-37.97,cascade_surplus
63417000331,SA,802.7372,191.1448,-611.5923,-76.19,cascade_surplus
64254000691,SA,2050.3984,1012.5835,-1037.8149,-50.62,cascade_surplus
61309001585,SA,52.9249,21.0376,-31.8872,-60.25,cascade_surplus
62298801341,SA,802.836,258.9694,-543.8666,-67.74,cascade_surplus
61520100471,SA,1135.8606,455.9817,-679.8788,-59.86,cascade_surplus
61547001081,SA,176.8593,103.6906,-73.1687,-41.37,cascade_surplus
66120000381,SA,604.9042,166.8963,-438.0079,-72.41,cascade_surplus
62291001121,SA,7028.3466,722.6732,-6305.6734,-89.72,cascade_surplus
65345000213,SA,884.0752,517.9157,-366.1595,-41.42,cascade_surplus
61598000281,SA,104.9719,54.7756,-50.1963,-47.82,cascade_surplus
62269601091,SA,181.4185,81.521,-99.8976,-55.06,cascade_surplus
64249800103,SA,3207.2698,1349.0078,-1858.262,-57.94,cascade_surplus
66210200743,SA,314.9647,177.9282,-137.0365,-43.51,cascade_surplus
66190200453,SA,393.0444,177.0962,-215.9483,-54.94,cascade_surplus
66220000421,SA,238.3291,114.1098,-124.2193,-52.12,cascade_surplus
67205001091,SA,378.3599,170.4814,-207.8784,-54.94,cascade_surplus
61520200991,SA,582.7776,364.9411,-217.8364,-37.38,cascade_surplus
62292102871,SA,288.3682,155.3236,-133.0447,-46.14,cascade_surplus
62292102543,SA,1572.4589,197.6292,-1374.8297,-87.43,cascade_surplus
61100201851,SA,479.9675,306.4702,-173.4973,-36.15,cascade_surplus
62447400013,SA,1398.3938,792.1513,-606.2425,-43.35,cascade_surplus
62447700153,SA,219.5518,66.2882,-153.2636,-69.81,cascade_surplus
62297901171,SA,1349.9815,13.2784,-1336.7031,-99.02,cascade_surplus
64252600081,SA,458.9116,59.6274,-399.2842,-87.01,cascade_surplus
62299302671,SA,288.4113,155.9991,-132.4122,-45.91,cascade_surplus
66170000221,SA,67.4312,29.241,-38.1902,-56.64,cascade_surplus
66170000241,SA,49.1401,22.7602,-26.3799,-53.68,cascade_surplus
66170000461,SA,66.759,36.6151,-30.1439,-45.15,cascade_surplus
62298402051,SA,271.3785,178.3921,-92.9864,-34.26,cascade_surplus
63103700125,SA,134.7178,49.6357,-85.082,-63.16,cascade_surplus
62221600411,SA,14802.1748,2557.1055,-12245.0693,-82.72,cascade_surplus
62100000045,SA,130.2605,29.644,-100.6165,-77.24,cascade_surplus
62288800181,SA,754.1729,417.61,-336.5629,-44.63,cascade_surplus
62264700461,SA,4127.584,1886.7242,-2240.8598,-54.29,cascade_surplus
61563100151,SA,9376.0677,3804.941,-5571.1267,-59.42,cascade_surplus
62266405211,SA,128.1874,76.0552,-52.1321,-40.67,cascade_surplus
62266600701,SA,315.39,204.6709,-110.719,-35.11,cascade_surplus
64253001333,SA,332.3564,53.7688,-278.5876,-83.82,cascade_surplus
62297802811,SA,170.7156,97.5463,-73.1692,-42.86,cascade_surplus
62298801321,SA,312.8326,134.2574,-178.5752,-57.08,cascade_surplus
62410500243,SA,79.2107,50.2384,-28.9723,-36.58,cascade_surplus
62410500433,SA,44.4197,22.1875,-22.2322,-50.05,cascade_surplus
62291000521,SA,819.8689,455.5998,-364.2692,-44.43,cascade_surplus
61202000431,SA,218.9354,113.4668,-105.4687,-48.17,cascade_surplus
62266403951,SA,208.7761,68.1882,-140.588,-67.34,cascade_surplus
62292901891,SA,3839.9893,1591.7919,-2248.1974,-58.55,cascade_surplus
62299700541,SA,228.1822,129.8044,-98.3777,-43.11,cascade_surplus
64268000193,SA,4571.1338,183.9098,-4387.224,-95.98,cascade_surplus
64268000143,SA,1668.7795,314.422,-1354.3575,-81.16,cascade_surplus
62304000195,SA,192.7194,125.0717,-67.6476,-35.1,cascade_surplus
62221100125,SA,366.3297,127.0818,-239.2479,-65.31,cascade_surplus
61546000141,SA,400.5335,258.2816,-142.252,-35.52,cascade_surplus
66240000831,SA,708.4766,220.3587,-488.1179,-68.9,cascade_surplus
66251000331,SA,236.1228,153.0837,-83.0392,-35.17,cascade_surplus
61100201891,SA,34259.2305,767.5179,-33491.7125,-97.76,cascade_surplus
61561000301,SA,68.983,22.9477,-46.0353,-66.73,cascade_surplus
62410400163,SA,53.5785,31.3237,-22.2548,-41.54,cascade_surplus
61650800803,SA,23.4622,13.8306,-9.6316,-41.05,cascade_surplus
61100201631,SA,2249.7642,323.1812,-1926.5829,-85.63,cascade_surplus
61100201701,SA,176.3442,40.0084,-136.3358,-77.31,cascade_surplus
62266501941,SA,171.1309,83.1275,-88.0034,-51.42,cascade_surplus
62299401201,SA,452.4146,77.8089,-374.6057,-82.8,cascade_surplus
61536000451,SA,659.3043,283.5266,-375.7777,-57.0,cascade_surplus
62299200511,SA,1433.9597,774.7682,-659.1915,-45.97,cascade_surplus
64249401491,SA,1719.9116,210.3583,-1509.5533,-87.77,cascade_surplus
62297100241,SA,1225.8657,495.594,-730.2718,-59.57,cascade_surplus
61538000411,SA,110.8754,28.71,-82.1654,-74.11,cascade_surplus
62266401771,SA,135.4223,41.4722,-93.9501,-69.38,cascade_surplus
62500900205,SA,96.3346,54.0504,-42.2842,-43.89,cascade_surplus
62410500413,SA,161.2262,35.1549,-126.0713,-78.2,cascade_surplus
62294900521,SA,2858.9438,857.9585,-2000.9853,-69.99,cascade_surplus
66190800143,SA,272.8599,77.7423,-195.1176,-71.51,cascade_surplus
66240000981,SA,138.1256,69.0347,-69.091,-50.02,cascade_surplus
66252000581,SA,337.5656,147.3533,-190.2122,-56.35,cascade_surplus
62294101833,SA,869.3184,294.7528,-574.5656,-66.09,cascade_surplus
61546000051,SA,456.81,17.2998,-439.5101,-96.21,cascade_surplus
62269600431,SA,146.9195,79.6059,-67.3136,-45.82,cascade_surplus
66256000163,SA,1948.9672,407.958,-1541.0092,-79.07,cascade_surplus
64160700553,SA,459.2776,297.3005,-161.9771,-35.27,cascade_surplus
64279000433,SA,294.8625,26.4141,-268.4484,-91.04,cascade_surplus
62298601011,SA,100.3281,57.6705,-42.6575,-42.52,cascade_surplus
61650801403,SA,98.0335,61.604,-36.4295,-37.16,cascade_surplus
62285800391,SA,3001.7241,1944.1727,-1057.5514,-35.23,cascade_surplus
62299401291,SA,963.0123,543.4511,-419.5613,-43.57,cascade_surplus
62299401001,SA,475.8203,316.1322,-159.688,-33.56,cascade_surplus
